Brewery,City,Latitude,Longitude
Anchor Brewing,"San Francisco, CA",37.7749,-122.4194
New Glarus Brewing,"New Glarus, WI",42.8144,-89.6351
Great Lakes Brewing,"Cleveland, OH",41.4993,-81.6944
Allagash Brewing Company,"Portland, Maine",43.6615,-70.2553
Devils Backbone Brewing Company,"Roseland, VA",37.7476,-78.9759
Boston Beer Company,"Boston, MA",42.3601,-71.0589
Green Flash Brewing Company,"San Deigo, CA",32.7157,-117.1611
Brewery Ommegang,"Cooperstown, NY",42.7006,-74.9243
Victory Brewing Company,"Downington, PA",40.0065,-75.7033
Great Divide Brewing,"Denver, CO",39.7392,-104.9903
Rogue Ales,"Portland, OR",45.52,-122.68194
Oskar Blues,"Lyons, CO",40.2247,-105.2714
Avery Brewing Company,"Boulder, CO",40.015,-105.2705
Three Floyds Brewing Company,"Munster, IN",41.5645,-87.5125
Odell Brewing Company,"Fort Collins, CO",40.5853,-105.0844
Sierra Nevada Brewing,"Chico, CA",39.7285,-121.8375
Russian River Brewing,"Santa Rosa, CA",38.4404,-122.7141
Bell's Brewerey,"Kalamazoo, MI",42.2917,-85.5872
Lagunitas Brewing Company,"Petaluma, CA",38.2324,-122.6367
Cigar City Brewing,"Tampa, FL",27.9506,-82.4572
Founders Brewing Company,"Grand Rapids, MI",42.9634,-85.6681
Boulevard Brewing Company,"Kansas City, MO",39.0997,-94.5786
Stone Brewing Company,"Escondido, CA",33.1192,-117.0864
Dogfish Head,"Milton, DE",38.7776,-75.3099
