FID,STATE_NAME,STATE_FIPS,STATE_ABBR,BREW_PER_CAPITA,NUM_OF_BREWIES,PRODUCTION_PER_CAPITA,BARRELS_PRODUCED,ECONOMIC_IMPACT,IMPACT_PER_CAPITA,RANK
42,Alabama,1,AL,0.7,24,0.4,50369,438,125.53,47
50,Alaska,2,AK,5.3,27,12.7,209644,239,469.09,8
36,Arizona,4,AZ,1.6,78,1.2,187213,960,203.25,32
46,Arkansas,5,AR,1.2,26,0.4,24623,324,153.03,38
24,California,6,CA,1.9,518,4.3,3799785,6887,251.89,24
31,Colorado,8,CO,7.3,284,14.1,1775831,2716,709.39,3
18,Connecticut,9,CT,1.3,35,1.2,105484,569,213.34,35
28,Delaware,10,DE,1.9,15,11.2,248742,264,389.08,22
27,District of Columbia,11,DC,2.2,10,1.8,29727,149,293.1,20
48,Florida,12,FL,1,151,2.5,1207936,2056,138.4,43
44,Georgia,13,GA,0.6,45,1.6,365015,1135,160.78,48
0,Hawaii,15,HI,1.2,13,1.2,40853,232,221.22,37
8,Idaho,16,ID,4.4,50,1.9,67597,318,284.73,10
26,Illinois,17,IL,1.7,157,2,595237,2272,247.08,26
21,Indiana,18,IN,2.5,115,1.2,182978,1076,230.56,17
13,Iowa,19,IA,2.6,58,0.8,54472,636,285.64,15
33,Kansas,20,KS,1.3,26,0.7,46288,383,188.14,36
32,Kentucky,21,KY,0.8,24,0.8,87156,495,155.27,46
47,Louisiana,22,LA,0.6,20,1.9,202764,646,195.98,49
3,Maine,23,ME,5.9,59,8.9,287257,432,430.85,5
30,Maryland,24,MD,1.4,60,1.8,258926,652,150.66,34
14,Massachusetts,25,MA,1.7,84,2.8,446158,1408,282.77,28
49,Michigan,26,MI,2.9,205,3.3,769897,1852,260.03,13
10,Minnesota,27,MN,2.7,105,5,631955,1324,337.59,14
43,Mississippi,28,MS,0.4,8,0.4,30790,223,103.74,51
35,Missouri,29,MO,1.7,71,2.6,359864,921,217.15,29
2,Montana,30,MT,6.5,49,7,171276,328,437.64,4
15,Nebraska,31,NE,2.5,33,0.9,39505,424,319.8,16
22,Nevada,32,NV,1.7,34,1,64901,480,236.79,30
12,New Hampshire,33,NH,4.5,44,3,94094,359,365.72,9
20,New Jersey,34,NJ,0.8,51,0.4,79942,1236,190.19,45
41,New Mexico,35,NM,3.1,45,1.8,85230,350,231.6,11
16,New York,36,NY,1.4,208,2.3,1086718,2921,201.88,33
38,North Carolina,37,NC,2.2,161,2.9,675469,1200,168.16,19
4,North Dakota,38,ND,1.6,9,0.5,8452,174,322.9,31
25,Ohio,39,OH,1.7,143,5.1,1385100,2162,258.66,27
37,Oklahoma,40,OK,0.5,14,0.4,34381,416,151.43,50
11,Oregon,41,OR,7.7,228,11.3,1081152,1837,631.35,2
17,Pennsylvania,42,PA,1.9,178,13.4,4059330,4488,476.98,23
19,Rhode Island,44,RI,1.8,14,0.8,20807,160,206.39,25
45,South Carolina,45,SC,1,36,0.7,80155,433,127.23,41
5,South Dakota,46,SD,2.3,14,0.4,8547,157,259.87,44
39,Tennessee,47,TN,1.1,52,0.9,142818,753,159.2,40
40,Texas,48,TX,1,189,1.9,1135043,3770,204.94,42
23,Utah,49,UT,1.2,22,3,183660,390,208.52,39
9,Vermont,50,VT,9.4,44,17.4,261654,271,579.52,1
34,Virginia,51,VA,2,124,1.4,274111,1046,173.18,21
1,Washington,53,WA,5.9,305,2.5,426462,1654,323.92,6
29,West Virginia,54,WV,0.9,12,0.3,14161,211,152.16,44
7,Wisconsin,55,WI,2.9,121,7.6,1020567,1748,420.2,12
6,Wyoming,56,WY,5.5,23,1.6,21053,150,356.88,7
